run_id,result,last_wave,duration_ms,recoveries,errors,hangs,failure_category
run_1784543594_42584,defeat,16,883117,10,0,0,
run_1784544479_78723,victory,20,1175306,14,0,0,
run_1784545655_48623,victory,20,1145439,14,0,0,
run_1784546802_15933,victory,20,1187540,14,0,0,
run_1784547991_23371,defeat,19,1081488,13,0,0,
run_1784549074_15139,victory,20,1184222,14,0,0,
run_1784550259_39958,victory,20,1142735,14,0,0,
run_1784551403_33745,victory,20,1117733,14,0,0,
run_1784552522_3141,defeat,19,1084808,13,0,0,
