run_id,result,last_wave,duration_ms,recoveries,errors,hangs,failure_category
run_1785724093_34897,defeat,11,539814,5,0,0,
run_1785724634_65034,defeat,12,594530,6,0,0,
run_1785725230_65556,defeat,13,687718,7,0,0,
run_1785725919_86033,defeat,7,289344,1,0,0,
run_1785726209_46799,defeat,12,615470,6,0,0,
run_1785726826_28,defeat,10,489724,4,0,0,
run_1785727317_86461,defeat,12,592502,6,0,0,
run_1785727911_17646,defeat,6,221535,0,0,0,
run_1785728134_80069,defeat,7,273253,1,0,0,
run_1785728408_14235,defeat,7,269777,1,0,0,
run_1785728679_28404,defeat,11,544265,5,0,0,
run_1785729225_76369,defeat,11,520211,5,0,0,
run_1785729746_55624,defeat,14,732762,8,0,0,
run_1785730480_61862,defeat,11,534548,5,0,0,
run_1785731016_38858,defeat,6,221138,0,0,0,
run_1785731239_56630,defeat,12,612024,6,0,0,
