run_id,result,last_wave,duration_ms,recoveries,errors,hangs,failure_category
run_1784498951_62777,victory,20,1168601,14,0,0,
run_1784500121_54007,defeat,17,958808,11,0,0,
run_1784501081_91148,victory,20,1146709,14,0,0,
run_1784502229_636,victory,20,1185747,14,0,0,
run_1784503416_20560,victory,20,1137351,14,0,0,
run_1784504555_17987,victory,20,1307450,14,0,0,
run_1784505864_91899,victory,20,1139007,14,0,0,
run_1784507004_52078,victory,20,1201217,14,0,0,
run_1784508207_10813,victory,20,1139680,14,0,0,
run_1784509347_81441,victory,20,1166957,14,0,0,
run_1784510516_91844,victory,20,1122714,14,0,0,
run_1784511640_19723,defeat,17,944674,11,0,0,
run_1784512586_23375,victory,20,1143685,14,0,0,
run_1784513731_42064,defeat,19,1073592,13,0,0,
