run_id,result,last_wave,duration_ms,recoveries,errors,hangs,failure_category
run_1785523639_49945,defeat,17,946488,11,0,0,
run_1785524586_49102,victory,20,1215195,14,0,0,
run_1785525803_46465,defeat,19,1089148,13,0,0,
run_1785526893_24987,defeat,16,880601,10,0,0,
run_1785527775_70728,defeat,20,1171168,14,0,0,
run_1785528948_21568,victory,20,1156938,14,0,0,
run_1785530106_8032,victory,20,1149609,14,0,0,
run_1785531257_80651,defeat,17,935141,11,0,0,
run_1785532193_86031,defeat,16,900236,10,0,0,
run_1785533095_12523,defeat,15,808545,9,0,0,
run_1785533905_64231,defeat,20,1197730,14,0,0,
run_1785535104_4902,defeat,20,1136690,14,0,0,
run_1785536242_43402,defeat,16,881421,10,0,0,
run_1785537125_20594,defeat,17,953245,11,0,0,
run_1785538079_53199,defeat,16,862111,10,0,0,
run_1785538942_36102,defeat,19,1083654,13,0,0,
