run_id,result,last_wave,duration_ms,recoveries,errors,hangs,failure_category
run_1784468826_76249,victory,20,1176805,14,0,0,
run_1784470004_40415,victory,20,1198013,14,0,0,
run_1784471204_52797,victory,20,1150105,14,0,0,
run_1784472355_36198,defeat,17,943148,11,0,0,
run_1784473299_86289,victory,20,1151870,14,0,0,
run_1784474452_4116,victory,20,1147346,14,0,0,
run_1784475601_27611,defeat,16,882260,10,0,0,
run_1784476485_266,victory,20,1191603,14,0,0,
run_1784477678_61149,defeat,20,1155100,14,0,0,
