run_id,result,last_wave,duration_ms,recoveries,errors,hangs,failure_category
run_1784488702_86910,defeat,13,682237,7,0,0,
run_1784489386_10335,victory,20,1160607,14,0,0,
run_1784490547_33624,victory,20,1128023,14,0,0,
run_1784491677_75390,victory,20,1161412,14,0,0,
run_1784492839_86662,victory,20,1138612,14,0,0,
run_1784493979_21120,defeat,20,1137225,14,0,0,
run_1784495118_90609,victory,20,1202295,14,0,0,
run_1784496321_96186,victory,20,1126673,14,0,0,
run_1784497449_29062,defeat,19,1078046,13,0,0,
