run_id,result,last_wave,duration_ms,recoveries,errors,hangs,failure_category
run_1785599374_42008,defeat,16,879851,10,0,0,
run_1785600255_6500,defeat,17,953693,11,0,0,
run_1785601210_38385,defeat,10,473827,4,0,0,
run_1785601685_85781,victory,20,1150144,14,0,0,
run_1785602837_18937,victory,20,1128492,14,0,0,
run_1785603967_43651,defeat,10,446508,4,0,0,
run_1785604414_96021,defeat,13,679987,7,0,0,
run_1785605096_42405,victory,20,1174230,14,0,0,
run_1785606271_13710,defeat,17,909926,11,0,0,
run_1785607182_45802,victory,20,1107295,14,0,0,
run_1785608291_18908,defeat,16,884237,10,0,0,
run_1785609177_86029,defeat,17,934171,11,0,0,
run_1785610112_14455,victory,20,1170336,14,0,0,
run_1785611284_91375,defeat,16,864248,10,0,0,
run_1785612149_16226,defeat,17,905938,11,0,0,
run_1785613056_20537,defeat,20,1140623,14,0,0,
