run_id,result,last_wave,duration_ms,recoveries,errors,hangs,failure_category
run_1784557174_49938,defeat,16,879969,10,0,0,
run_1784558055_14957,victory,20,1182975,14,0,0,
run_1784559240_48749,defeat,16,870572,10,0,0,
run_1784560111_87326,victory,20,1174010,14,0,0,
run_1784561287_80002,victory,20,1145161,14,0,0,
run_1784562433_55655,victory,20,1201510,14,0,0,
run_1784563636_4561,victory,20,1186590,14,0,0,
run_1784564824_78534,victory,20,1182429,14,0,0,
run_1784566008_39827,victory,20,1140573,14,0,0,
run_1784567149_93400,victory,20,1197327,14,0,0,
run_1784568348_10712,victory,20,1163504,14,0,0,
run_1784569513_14817,victory,20,1149465,14,0,0,
run_1784570664_37538,victory,20,1145311,14,0,0,
run_1784571810_55421,defeat,10,473212,4,0,0,
