run_id,result,last_wave,duration_ms,recoveries,errors,hangs,failure_category
run_1784301158_30018,defeat,16,833278,10,0,0,
run_1784301993_52766,defeat,17,894575,11,0,0,
run_1784302888_39239,defeat,10,460680,4,0,0,
run_1784303350_31228,victory,20,1128217,14,0,0,
run_1784304480_35414,defeat,16,827338,10,0,0,
run_1784305309_53844,defeat,9,372601,3,0,0,
run_1784305922_49224,defeat,19,1020366,13,0,0,
run_1784306944_49948,defeat,17,898991,11,0,0,
run_1784307844_9856,defeat,16,815896,10,0,0,
run_1784308661_33889,defeat,10,449143,4,0,0,
run_1784309111_60803,victory,20,1163837,14,0,0,
run_1784310277_80133,defeat,10,453707,4,0,0,
run_1784310732_71877,defeat,16,792789,10,0,0,
run_1784311526_23901,defeat,20,1064906,14,0,0,
run_1784312592_53343,victory,20,1122848,14,0,0,
run_1784313716_68860,victory,20,1083456,14,0,0,
run_1784314801_41417,defeat,18,930615,12,0,0,
run_1784315733_61173,victory,20,1084640,14,0,0,
run_1784316818_3581,victory,20,1115265,14,0,0,
run_1784317935_28758,defeat,20,1066792,14,0,0,
