run_id,result,last_wave,duration_ms,recoveries,errors,hangs,failure_category
run_1785470550_76047,defeat,19,1087954,13,0,0,
run_1785471639_9351,victory,20,1201218,14,0,0,
run_1785472841_79692,defeat,17,936795,11,0,0,
run_1785473779_39974,victory,20,1165308,14,0,0,
run_1785474946_9753,victory,20,1177299,14,0,0,
run_1785476125_52561,defeat,20,1194484,14,0,0,
run_1785477320_85214,victory,20,1169159,14,0,0,
run_1785478491_84893,victory,20,1163508,14,0,0,
run_1785479656_10722,victory,20,1172202,14,0,0,
run_1785480829_7981,defeat,16,879480,10,0,0,
run_1785481710_24982,victory,20,1153688,14,0,0,
run_1785482865_45920,defeat,16,896792,10,0,0,
run_1785484798_28761,defeat,17,942420,11,0,0,
run_1785485741_76057,victory,20,1181896,14,0,0,
run_1785486925_15275,defeat,15,799404,9,0,0,
run_1785487770_30849,victory,20,1210442,14,0,0,
