run_id,result,last_wave,duration_ms,recoveries,errors,hangs,failure_category
run_1784521240_18928,victory,20,1181892,14,0,0,
run_1784522496_79511,victory,20,1194639,14,0,0,
run_1784523691_59330,victory,20,1140209,14,0,0,
run_1784524833_18500,victory,20,1143610,14,0,0,
run_1784525978_54680,defeat,17,957071,11,0,0,
run_1784526936_36007,victory,20,1167469,14,0,0,
run_1784528105_99629,victory,20,1139533,14,0,0,
run_1784529246_8274,victory,20,1182029,14,0,0,
run_1784530429_16897,victory,20,1137059,14,0,0,
run_1784531567_60545,defeat,17,958780,11,0,0,
run_1784532527_90900,defeat,17,923457,11,0,0,
